sentence,predicted_label,actual_label
"""company_22593"" means company_40013, inc., whose usual place of business is at address_52373, st. louis, missouri 53727 and who can be contacted at https://80_generic.568_url.domain",1,0
- by email on generic_436@email_23.domain,1,0
"321, 18940 drochtersen, deutschland e-mail: generic_332@email_33.domain, telefon: +74 (3)9993/186093",1,0
a list of eea authorities is available at https://20_generic.720_url.domain,1,0
"all comments, queries or requests relating to our use of your information are welcome and should be addressed to the generic_234@email_56.domain",1,0
"all questions, comments and requests regarding this privacy policy should be addressed generic_052@email_31.domain",1,0
"alternatively, visit ico.org.uk or email generic_372@email_61.domain",1,0
"alternatively, you can contact the data protection officer for a list of them.",1,0
"alternatively, you can contact the information commissioner’s office at https://69_generic.774_url.domain",1,0
any questions regarding this policy should be sent via email to generic_606@email_18.domain,1,0
any such requests should be made to this email address: generic_065@email_98.domain,1,0
contact details for the council’s data controller are:,1,0
contact details for the ico can be found at https://36_generic.477_url.domain,1,0
contact details of each of the data controllers listed above and their data protection officers can be found here.,1,0
contact for requests – can be made at the address or by using the contact details shown on this document.,1,0
email address (gdpr contact): generic_330@email_45.domain,1,0
"for a list of our correspondence addresses and telephone and email contact details, please visit our contact us page.",1,0
for further information on the third-party companies currently acting as data processors please contact generic_106@email_16.domain,1,0
"for independent advice about data protection, privacy and data sharing issues, you can contact the information commissioner’s office (ico) at:",1,0
"for more information about our use of your personal data or exercising your rights as outlined above, please contact us using the details provided in part 21.",1,0
"for more information about these transfer mechanisms, please contact us as detailed in the “company_09153 contact information” section below.",1,0
"for the purpose of the dpa and gdpr we are the data controller and any enquiry regarding the collection or processing of your data should be addressed to company_96656 limited, address_98037",1,0
"for the purposes of the uk, the supervisory authority is the information commissioner’s office (ico), the contact details of which are available here: https://51_generic.392_url.domain",1,0
"furthermore, you can change your marketing preferences at any time by contacting us by email at generic_708@email_15.domain",1,0
"hard copies of the current privacy statement can be obtained by writing to the data protection officer, company_93415 limited, address_67417.",1,0
"however, you have a right to raise any concern or complaint with the uk information regulator, at the information commissioner’s office: https://79_generic.927_url.domain",1,0
"however, you may instruct us not to process your personal information for marketing purposes at any time using the contact details stated below.",1,0
"if you are a child and need further advice or explanation about how we would or do use your data, please contact our data protection officer, who may be able to assist.",1,0
"if you are dissatisfied with how we deal with your concerns, you can complain to our supervisory authority for data protection,
                                    the information commissioner’s office (ico).",1,0
"if you are not happy with any aspect of how we collect and use your data, you have the right to complain to the information commissioner’s office (ico), the uk supervisory authority for data protection issues (https://48_generic.303_url.domain",1,0
"if you believe that we have failed in our compliance with data protection legislation, complaints to this authority can be made by visiting https://17_generic.447_url.domain .",1,0
"if you have any complaints in relation to this policy or otherwise in relation to our processing of your personal data, you should contact the uk supervisory authority: the data commissioner, see https://20_generic.700_url.domain",1,0
"if you have any concerns about the way in which we are using your personal information, please contact our data protection officer in the first instance and we will endeavour to resolve your concern.",1,0
"if you have any questions about this privacy notice, including any requests to exercise your legal rights, please contact the dpo using the details set out below.",1,0
"if you have any questions or concerns, you may contact me at generic_725@email_97.domain",1,0
"if you have any specific data protection concerns or a complaint, you can address it to our data protection team at generic_450@email_44.domain",1,0
"if you reside in the eu and wish to raise a concern about my use of your information (and without prejudice to any other rights you may have), you have the right to do so with your local data protection authority.",1,0
"if you suspect any misuse or loss or unauthorised access to your data, please let us know immediately by contacting us via this e-mail address: generic_273@email_49.domain",1,0
"if you wish to raise any queries or concerns about the use of cookies on this website please contact the soge webmaster by email at generic_637@email_07.domain or by post at school of geography and the environment, company_87934, address_45466, oxford, ox4 4qy.",1,0
if you would like a copy of the information we hold about you please email our data protection officer.,1,0
"if you would like further information in relation to your legal rights under applicable law or would like to exercise any of them, please contact us using the information in the “company_62707 contact information” section below at any time.",1,0
"if you would like to contact company_66528 about any of the information contained within this privacy policy you can contact our data protection lead, … by email at ….",1,0
"in addition to sending us your complaints directly to generic_813@email_31.domain, you can send complaints to our supervisory authority.",1,0
in addition you may contact the responsible data privacy officer listed click here for their contact details.,1,0
in the first instance please email generic_188@email_12.domain,1,0
more information about how to contact them can be found on their respective company_25615 websites.,1,0
our data protection officer is in charge of answering questions about this privacy notice or your requests to exercise your rights which are set out below.,1,0
please contact our data protection officer if you have any complaint or concern over how your data will be used.,1,0
"please contact us for more details at generic_335@email_23.domain, or using the contact details below in section 73.",1,0
please mark any correspondence ‘the data protection officer’.,1,0
please see section 14 for contact details.,1,0
"requests may be sent, in writing, to company_43394, via address_81754 or via email to generic_010@email_33.domain",1,0
see the affiliates page for a list.,1,0
see the franchisees page for a list.,1,0
telephone / fax: 19407 259126 email: generic_773@email_61.domain,1,0
"the competent regulatory authority for matters
related to data protection legislation is the data protection officer of the german state in which
our company is headquartered.",1,0
the ico can be contacted via: https://38_generic.562_url.domain,1,0
the ico's contact details can be found on their website at https://21_generic.654_url.domain,1,0
the privacy / collection notice should also provide you with contact details if you have any queries about the respective online form.,1,0
their privacy policy is available here upon contacting them: https://16_generic.705_url.domain,1,0
"therefore, please feel free to contact us at anytime to review the aforementioned at generic_087@email_97.domain or by post to company_09876, address_96401",1,0
these preferences can be revisited at any time by contacting our data protection officer.,1,0
"this privacy notice should tell you everything you need to know, but you can always contact us to find out more or to ask any questions using the details in part 04.",1,0
to contact dfe: https://04_generic.717_url.domain,1,0
"to exercise your right to ""opt out"" of this service you should contact the data protection oficer to have your name removed.",1,0
"to receive this information please write to the data rights team, company_48850 limited, address_50568",1,0
"to use any of these rights, please contact company_64062 using the details provided in the section called “who runs company_87001, and how do i contact them?” under the company_52300 privacy guide section.",1,0
we are registered with the information commissioners office (“ico”) and can be found on the data protection public register via https://76_generic.100_url.domain,1,0
we have appointed a data privacy manager to oversee compliance with this privacy notice.,1,0
we have appointed a data protection officer for our company.,1,0
we have appointed a data protection officer.,1,0
"you also have the following rights under the data protection legislation: to lodge a complaint with the information commissioners office, https://59_generic.319_url.domain",1,0
"you are also entitled to
  lodge a complaint with your local data protection authority.",1,0
you can also complain to the information commissioner's office who is the uk supervisory authority for data protection issues.,1,0
"you can also exercise the right at any time by 
contacting us at company_32618, address_88320",1,0
you can also find out more about your rights under the data protection act at the information commissioner’s office website at https//:65_generic.941_url.domain or by writing to:,1,0
you can ask us or third parties to stop sending you marketing messages at any time by contacting our dpm.,1,0
you can contact him by writing to our office address or sending an email to generic_896@email_98.domain,1,0
"you can contact us by phone on 1922 1155 693, or by email at generic_954@email_52.domain, or write to us at address_15361",1,0
you can find out more about your rights under applicable data protection legislation from the information commissioner’s office website available at https://83_generic.182_url.domain,1,0
"you can let us know if you would prefer us not to profile you in the ways set out here by contacting our data protection officer at company_30091 cancer support, address_52523, london se2 9uq, or by email at generic_480@email_82.domain",1,0
"you can obtain a copy of your personal information we hold by writing to the data protection officer, company_04462 limited, address_02499.",1,0
you can submit a complaint to the idrs (part of the centre for effective dispute resolution) via their website at https://17_generic.917_url.domain,1,0
"you have the right to make a complaint at any time to the information commissioner's office (ico), the uk supervisory authority for data protection issues ( https://15_generic.147_url.domain ).",1,0
you have the right to make a complaint at any time to the information commissioner’s office (ico) (https://11_generic.490_url.domain,1,0
you have the right to opt out of our processing your personal data for marketing purposes by contacting us at generic_242@email_68.domain,1,0
you have the right to submit a subject access request and this can be done via an email request to our dpo.,1,0
you have the right to unsubscribe or have your information removed at any time and this can be done by emailing generic_412@email_14.domain,1,0
you may request the transfer of such data to a third party data controller by contacting the data protection officer whose details are outlined in section 40.,1,0
"you may use the relevant contact details below to request access to
  the personal data stored about you, correct or update any data.",1,0
​you have the right to complain to the information commissioner’s office if you think there is a problem with the way we are handling your data: ico.org.uk,1,0
